"Season","round","homeTeam","awayTeam","snitch","homeGoals","awayGoals"
2012,19,"Wales Longshots","Denmark Horntails","Denmark Horntails",7,4
2012,19,"Scotland Squirrels","Malaysia Tornadoes","Malaysia Tornadoes",11,1
2012,19,"England Nightmares","Durhamstrang","England Nightmares",2,5
2012,20,"Germany Werewolves","United States Chimeras","Germany Werewolves",6,10
2012,20,"France Thestrals","Japan Falcons","Japan Falcons",0,8
2012,20,"Ireland Griffins","Australia Centurions","Ireland Griffins",11,1
2012,20,"Wales Longshots","New Zealand Daemons","Wales Longshots",1,4
2012,20,"Scotland Squirrels","France Hippogriffs Firsts","Scotland Squirrels",3,15
2012,20,"England Nightmares","Denmark Horntails","Denmark Horntails",12,7
2012,20,"Durhamstrang","Malaysia Tornadoes","Malaysia Tornadoes",8,5
2012,21,"France Thestrals","United States Chimeras","United States Chimeras",11,1
2012,21,"Ireland Griffins","Germany Werewolves","Germany Werewolves",1,4
2012,21,"Wales Longshots","Japan Falcons","Wales Longshots",4,13
2012,21,"Scotland Squirrels","Australia Centurions","Australia Centurions",15,4
2012,21,"England Nightmares","New Zealand Daemons","New Zealand Daemons",7,6
2012,21,"Durhamstrang","France Hippogriffs Firsts","Durhamstrang",12,2
2012,21,"Malaysia Tornadoes","Denmark Horntails","Denmark Horntails",2,8
2012,22,"Ireland Griffins","United States Chimeras","United States Chimeras",7,4
2012,22,"Wales Longshots","France Thestrals","France Thestrals",8,3
2012,22,"Scotland Squirrels","Germany Werewolves","Scotland Squirrels",2,3
2012,22,"England Nightmares","Japan Falcons","England Nightmares",4,13
2012,22,"Durhamstrang","Australia Centurions","Durhamstrang",0,10
2012,22,"Malaysia Tornadoes","New Zealand Daemons","New Zealand Daemons",7,15
2012,22,"Denmark Horntails","France Hippogriffs Firsts","France Hippogriffs Firsts",5,9
2012,23,"Wales Longshots","United States Chimeras","United States Chimeras",13,15
2012,23,"Scotland Squirrels","Ireland Griffins","Ireland Griffins",4,10
2012,23,"England Nightmares","France Thestrals","England Nightmares",0,15
2012,23,"Durhamstrang","Germany Werewolves","Germany Werewolves",3,14
2012,23,"Malaysia Tornadoes","Japan Falcons","Malaysia Tornadoes",13,0
2012,23,"Denmark Horntails","Australia Centurions","Australia Centurions",7,1
2012,23,"France Hippogriffs Firsts","New Zealand Daemons","New Zealand Daemons",9,6
2012,24,"Scotland Squirrels","United States Chimeras","United States Chimeras",4,13
2012,24,"England Nightmares","Wales Longshots","Wales Longshots",3,7
2012,24,"Durhamstrang","Ireland Griffins","Ireland Griffins",5,10
2012,24,"Malaysia Tornadoes","France Thestrals","Malaysia Tornadoes",8,0
2012,24,"Denmark Horntails","Germany Werewolves","Denmark Horntails",14,5
2012,24,"France Hippogriffs Firsts","Japan Falcons","France Hippogriffs Firsts",9,5
2012,24,"New Zealand Daemons","Australia Centurions","Australia Centurions",8,11
2012,25,"England Nightmares","United States Chimeras","United States Chimeras",5,2
2012,25,"Durhamstrang","Scotland Squirrels","Scotland Squirrels",11,1
2012,25,"Malaysia Tornadoes","Wales Longshots","Malaysia Tornadoes",10,5
2012,25,"Denmark Horntails","Ireland Griffins","Denmark Horntails",12,0
2012,25,"France Hippogriffs Firsts","France Thestrals","France Hippogriffs Firsts",5,14
2012,25,"New Zealand Daemons","Germany Werewolves","Germany Werewolves",12,12
2012,25,"Australia Centurions","Japan Falcons","Australia Centurions",15,1
2012,26,"Durhamstrang","United States Chimeras","United States Chimeras",1,12
2012,26,"Malaysia Tornadoes","England Nightmares","Malaysia Tornadoes",7,4
2012,26,"Denmark Horntails","Scotland Squirrels","Denmark Horntails",15,15
2012,26,"France Hippogriffs Firsts","Wales Longshots","Wales Longshots",15,12
2012,26,"New Zealand Daemons","Ireland Griffins","New Zealand Daemons",12,0
2012,26,"Australia Centurions","France Thestrals","France Thestrals",3,2
2012,26,"Japan Falcons","Germany Werewolves","Japan Falcons",14,9
2013,1,"United States Chimeras","Malaysia Tornadoes","Malaysia Tornadoes",2,7
2013,1,"Durhamstrang","Denmark Horntails","Denmark Horntails",11,4
2013,1,"England Nightmares","France Hippogriffs Firsts","France Hippogriffs Firsts",4,1
2013,1,"Scotland Squirrels","New Zealand Daemons","Scotland Squirrels",14,2
2013,1,"Wales Longshots","Australia Centurions","Australia Centurions",12,6
2013,1,"Ireland Griffins","Japan Falcons","Japan Falcons",8,0
2013,1,"France Thestrals","Germany Werewolves","France Thestrals",3,13
2013,2,"United States Chimeras","Denmark Horntails","United States Chimeras",9,2
2013,2,"Malaysia Tornadoes","France Hippogriffs Firsts","France Hippogriffs Firsts",8,5
2013,2,"Durhamstrang","New Zealand Daemons","New Zealand Daemons",0,2
2013,2,"England Nightmares","Australia Centurions","England Nightmares",2,5
2013,2,"Scotland Squirrels","Japan Falcons","Japan Falcons",8,1
2013,2,"Wales Longshots","Germany Werewolves","Wales Longshots",10,15
2013,2,"Ireland Griffins","France Thestrals","France Thestrals",3,13
2013,3,"United States Chimeras","France Hippogriffs Firsts","United States Chimeras",10,2
2013,3,"Denmark Horntails","New Zealand Daemons","Denmark Horntails",1,11
2013,3,"Malaysia Tornadoes","Australia Centurions","Malaysia Tornadoes",13,5
2013,3,"Durhamstrang","Japan Falcons","Japan Falcons",13,12
2013,3,"England Nightmares","Germany Werewolves","Germany Werewolves",6,4
2013,3,"Scotland Squirrels","France Thestrals","France Thestrals",11,4
2013,3,"Wales Longshots","Ireland Griffins","Wales Longshots",14,9
2013,4,"United States Chimeras","New Zealand Daemons","United States Chimeras",14,11
2013,4,"France Hippogriffs Firsts","Australia Centurions","France Hippogriffs Firsts",0,15
2013,4,"Denmark Horntails","Japan Falcons","Denmark Horntails",3,2
2013,4,"Malaysia Tornadoes","Germany Werewolves","Malaysia Tornadoes",13,12
2013,4,"Durhamstrang","France Thestrals","France Thestrals",12,0
2013,4,"England Nightmares","Ireland Griffins","Ireland Griffins",13,8
2013,4,"Scotland Squirrels","Wales Longshots","Wales Longshots",8,9
2013,5,"United States Chimeras","Australia Centurions","Australia Centurions",12,10
2013,5,"New Zealand Daemons","Japan Falcons","New Zealand Daemons",0,9
2013,5,"France Hippogriffs Firsts","Germany Werewolves","France Hippogriffs Firsts",7,12
2013,5,"Denmark Horntails","France Thestrals","France Thestrals",9,9
2013,5,"Malaysia Tornadoes","Ireland Griffins","Ireland Griffins",8,13
2013,5,"Durhamstrang","Wales Longshots","Durhamstrang",5,15
2013,5,"England Nightmares","Scotland Squirrels","England Nightmares",4,2
2013,6,"United States Chimeras","Japan Falcons","Japan Falcons",4,8
2013,6,"Australia Centurions","Germany Werewolves","Germany Werewolves",9,3
2013,6,"New Zealand Daemons","France Thestrals","France Thestrals",2,7
2013,6,"France Hippogriffs Firsts","Ireland Griffins","France Hippogriffs Firsts",11,9
2013,6,"Denmark Horntails","Wales Longshots","Denmark Horntails",7,14
2013,6,"Malaysia Tornadoes","Scotland Squirrels","Scotland Squirrels",8,7
2013,6,"Durhamstrang","England Nightmares","England Nightmares",5,8
2013,7,"United States Chimeras","Germany Werewolves","United States Chimeras",2,6
2013,7,"Japan Falcons","France Thestrals","Japan Falcons",12,7
2013,7,"Australia Centurions","Ireland Griffins","Ireland Griffins",9,8
2013,7,"New Zealand Daemons","Wales Longshots","Wales Longshots",8,7
2013,7,"France Hippogriffs Firsts","Scotland Squirrels","Scotland Squirrels",4,1
2013,7,"Denmark Horntails","England Nightmares","England Nightmares",4,9
2013,7,"Malaysia Tornadoes","Durhamstrang","Durhamstrang",0,4
2013,8,"United States Chimeras","France Thestrals","France Thestrals",4,15
2013,8,"Germany Werewolves","Ireland Griffins","Germany Werewolves",8,0
2013,8,"Japan Falcons","Wales Longshots","Wales Longshots",1,3
2013,8,"Australia Centurions","Scotland Squirrels","Australia Centurions",14,4
2013,8,"New Zealand Daemons","England Nightmares","New Zealand Daemons",1,15
2013,8,"France Hippogriffs Firsts","Durhamstrang","France Hippogriffs Firsts",5,0
2013,8,"Denmark Horntails","Malaysia Tornadoes","Malaysia Tornadoes",10,3
2013,9,"United States Chimeras","Ireland Griffins","Ireland Griffins",14,13
2013,9,"France Thestrals","Wales Longshots","Wales Longshots",15,14
2013,9,"Germany Werewolves","Scotland Squirrels","Germany Werewolves",10,13
2013,9,"Japan Falcons","England Nightmares","England Nightmares",4,7
2013,9,"Australia Centurions","Durhamstrang","Durhamstrang",9,9
2013,9,"New Zealand Daemons","Malaysia Tornadoes","Malaysia Tornadoes",4,6
2013,9,"France Hippogriffs Firsts","Denmark Horntails","Denmark Horntails",6,14
2013,10,"United States Chimeras","Wales Longshots","United States Chimeras",0,8
2013,10,"Ireland Griffins","Scotland Squirrels","Ireland Griffins",1,12
2013,10,"France Thestrals","England Nightmares","France Thestrals",1,9
2013,10,"Germany Werewolves","Durhamstrang","Germany Werewolves",6,7
2013,10,"Japan Falcons","Malaysia Tornadoes","Malaysia Tornadoes",6,14
2013,10,"Australia Centurions","Denmark Horntails","Denmark Horntails",5,9
2013,10,"New Zealand Daemons","France Hippogriffs Firsts","France Hippogriffs Firsts",0,11
2013,11,"United States Chimeras","Scotland Squirrels","United States Chimeras",1,6
2013,11,"Wales Longshots","England Nightmares","England Nightmares",8,15
2013,11,"Ireland Griffins","Durhamstrang","Durhamstrang",7,1
2013,11,"France Thestrals","Malaysia Tornadoes","France Thestrals",12,14
2013,11,"Germany Werewolves","Denmark Horntails","Germany Werewolves",5,8
2013,11,"Japan Falcons","France Hippogriffs Firsts","Japan Falcons",2,4
2013,11,"Australia Centurions","New Zealand Daemons","New Zealand Daemons",5,4
2013,12,"United States Chimeras","England Nightmares","United States Chimeras",12,2
2013,12,"Scotland Squirrels","Durhamstrang","Durhamstrang",13,7
2013,12,"Wales Longshots","Malaysia Tornadoes","Wales Longshots",6,10
2013,12,"Ireland Griffins","Denmark Horntails","Ireland Griffins",14,11
2013,12,"France Thestrals","France Hippogriffs Firsts","France Hippogriffs Firsts",2,1
2013,12,"Germany Werewolves","New Zealand Daemons","New Zealand Daemons",3,10
2013,12,"Japan Falcons","Australia Centurions","Japan Falcons",13,4
2013,13,"United States Chimeras","Durhamstrang","Durhamstrang",10,15
2013,13,"England Nightmares","Malaysia Tornadoes","England Nightmares",14,1
2013,13,"Scotland Squirrels","Denmark Horntails","Scotland Squirrels",5,6
2013,13,"Wales Longshots","France Hippogriffs Firsts","France Hippogriffs Firsts",13,11
2013,13,"Ireland Griffins","New Zealand Daemons","New Zealand Daemons",0,3
2013,13,"France Thestrals","Australia Centurions","France Thestrals",13,0
2013,13,"Germany Werewolves","Japan Falcons","Japan Falcons",15,11
2013,14,"Malaysia Tornadoes","United States Chimeras","United States Chimeras",9,4
2013,14,"Denmark Horntails","Durhamstrang","Durhamstrang",0,4
2013,14,"France Hippogriffs Firsts","England Nightmares","England Nightmares",9,0
2013,14,"New Zealand Daemons","Scotland Squirrels","New Zealand Daemons",1,11
2013,14,"Australia Centurions","Wales Longshots","Australia Centurions",10,3
2013,14,"Japan Falcons","Ireland Griffins","Japan Falcons",1,8
2013,14,"Germany Werewolves","France Thestrals","France Thestrals",5,0
2013,15,"Denmark Horntails","United States Chimeras","United States Chimeras",7,2
2013,15,"France Hippogriffs Firsts","Malaysia Tornadoes","Malaysia Tornadoes",7,2
2013,15,"New Zealand Daemons","Durhamstrang","Durhamstrang",11,15
2013,15,"Australia Centurions","England Nightmares","Australia Centurions",14,4
2013,15,"Japan Falcons","Scotland Squirrels","Scotland Squirrels",6,3
2013,15,"Germany Werewolves","Wales Longshots","Wales Longshots",0,2
2013,15,"France Thestrals","Ireland Griffins","France Thestrals",14,11
2013,16,"France Hippogriffs Firsts","United States Chimeras","France Hippogriffs Firsts",6,2
2013,16,"New Zealand Daemons","Denmark Horntails","New Zealand Daemons",13,3
2013,16,"Australia Centurions","Malaysia Tornadoes","Australia Centurions",4,12
2013,16,"Japan Falcons","Durhamstrang","Japan Falcons",5,15
2013,16,"Germany Werewolves","England Nightmares","England Nightmares",12,0
2013,16,"France Thestrals","Scotland Squirrels","France Thestrals",15,6
2013,16,"Ireland Griffins","Wales Longshots","Wales Longshots",11,11
2013,17,"New Zealand Daemons","United States Chimeras","United States Chimeras",10,1
2013,17,"Australia Centurions","France Hippogriffs Firsts","France Hippogriffs Firsts",11,6
2013,17,"Japan Falcons","Denmark Horntails","Denmark Horntails",1,0
2013,17,"Germany Werewolves","Malaysia Tornadoes","Malaysia Tornadoes",6,5
2013,17,"France Thestrals","Durhamstrang","France Thestrals",3,7
2013,17,"Ireland Griffins","England Nightmares","Ireland Griffins",4,5
2013,17,"Wales Longshots","Scotland Squirrels","Scotland Squirrels",5,8
2013,18,"Australia Centurions","United States Chimeras","United States Chimeras",15,10
2013,18,"Japan Falcons","New Zealand Daemons","New Zealand Daemons",14,2
2013,18,"Germany Werewolves","France Hippogriffs Firsts","France Hippogriffs Firsts",7,14
2013,18,"France Thestrals","Denmark Horntails","Denmark Horntails",9,0
2013,18,"Ireland Griffins","Malaysia Tornadoes","Malaysia Tornadoes",9,2
2013,18,"Wales Longshots","Durhamstrang","Durhamstrang",6,8
2013,18,"Scotland Squirrels","England Nightmares","Scotland Squirrels",14,12
2013,19,"Japan Falcons","United States Chimeras","Japan Falcons",7,10
2013,19,"Germany Werewolves","Australia Centurions","Australia Centurions",8,11
2013,19,"France Thestrals","New Zealand Daemons","France Thestrals",12,2
2013,19,"Ireland Griffins","France Hippogriffs Firsts","Ireland Griffins",4,5
2013,19,"Wales Longshots","Denmark Horntails","Wales Longshots",12,0
2013,19,"Scotland Squirrels","Malaysia Tornadoes","Malaysia Tornadoes",7,12
2013,19,"England Nightmares","Durhamstrang","Durhamstrang",14,7
2013,20,"Germany Werewolves","United States Chimeras","United States Chimeras",12,7
2013,20,"France Thestrals","Japan Falcons","Japan Falcons",13,11
2013,20,"Ireland Griffins","Australia Centurions","Ireland Griffins",11,7
2013,20,"Wales Longshots","New Zealand Daemons","New Zealand Daemons",15,9
2013,20,"Scotland Squirrels","France Hippogriffs Firsts","Scotland Squirrels",0,13
2013,20,"England Nightmares","Denmark Horntails","England Nightmares",5,2
2013,20,"Durhamstrang","Malaysia Tornadoes","Durhamstrang",1,7
2013,21,"France Thestrals","United States Chimeras","France Thestrals",7,5
2013,21,"Ireland Griffins","Germany Werewolves","Germany Werewolves",6,7
2013,21,"Wales Longshots","Japan Falcons","Japan Falcons",1,5
2013,21,"Scotland Squirrels","Australia Centurions","Australia Centurions",6,8
2013,21,"England Nightmares","New Zealand Daemons","England Nightmares",9,9
2013,21,"Durhamstrang","France Hippogriffs Firsts","France Hippogriffs Firsts",2,8
2013,21,"Malaysia Tornadoes","Denmark Horntails","Malaysia Tornadoes",9,1
2013,22,"Ireland Griffins","United States Chimeras","Ireland Griffins",13,4
2013,22,"Wales Longshots","France Thestrals","Wales Longshots",15,10
2013,22,"Scotland Squirrels","Germany Werewolves","Scotland Squirrels",13,2
2013,22,"England Nightmares","Japan Falcons","England Nightmares",6,11
2013,22,"Durhamstrang","Australia Centurions","Durhamstrang",7,1
2013,22,"Malaysia Tornadoes","New Zealand Daemons","New Zealand Daemons",3,3
2013,22,"Denmark Horntails","France Hippogriffs Firsts","France Hippogriffs Firsts",8,7
2013,23,"Wales Longshots","United States Chimeras","Wales Longshots",4,14
2013,23,"Scotland Squirrels","Ireland Griffins","Scotland Squirrels",11,12
2013,23,"England Nightmares","France Thestrals","France Thestrals",10,8
2013,23,"Durhamstrang","Germany Werewolves","Germany Werewolves",9,0
2013,23,"Malaysia Tornadoes","Japan Falcons","Malaysia Tornadoes",15,2
2013,23,"Denmark Horntails","Australia Centurions","Australia Centurions",13,12
2013,23,"France Hippogriffs Firsts","New Zealand Daemons","New Zealand Daemons",11,3
2013,24,"Scotland Squirrels","United States Chimeras","United States Chimeras",10,12
2013,24,"England Nightmares","Wales Longshots","Wales Longshots",1,12
2013,24,"Durhamstrang","Ireland Griffins","Ireland Griffins",8,11
2013,24,"Malaysia Tornadoes","France Thestrals","Malaysia Tornadoes",3,12
2013,24,"Denmark Horntails","Germany Werewolves","Germany Werewolves",7,4
2013,24,"France Hippogriffs Firsts","Japan Falcons","Japan Falcons",14,1
2013,24,"New Zealand Daemons","Australia Centurions","New Zealand Daemons",4,4
2013,25,"England Nightmares","United States Chimeras","United States Chimeras",1,4
2013,25,"Durhamstrang","Scotland Squirrels","Scotland Squirrels",10,6
2013,25,"Malaysia Tornadoes","Wales Longshots","Malaysia Tornadoes",13,10
2013,25,"Denmark Horntails","Ireland Griffins","Denmark Horntails",10,11
2013,25,"France Hippogriffs Firsts","France Thestrals","France Hippogriffs Firsts",11,2
2013,25,"New Zealand Daemons","Germany Werewolves","New Zealand Daemons",7,0
2013,25,"Australia Centurions","Japan Falcons","Japan Falcons",7,7
2013,26,"Durhamstrang","United States Chimeras","United States Chimeras",7,13
2013,26,"Malaysia Tornadoes","England Nightmares","Malaysia Tornadoes",12,10
2013,26,"Denmark Horntails","Scotland Squirrels","Denmark Horntails",3,10
2013,26,"France Hippogriffs Firsts","Wales Longshots","Wales Longshots",15,8
2013,26,"New Zealand Daemons","Ireland Griffins","New Zealand Daemons",1,4
2013,26,"Australia Centurions","France Thestrals","France Thestrals",3,5
2013,26,"Japan Falcons","Germany Werewolves","Japan Falcons",6,4
2014,1,"United States Chimeras","Turkey Knights","United States Chimeras",3,10
2014,1,"Durhamstrang","Pakistan Swans","Durhamstrang",12,14
2014,1,"England Nightmares","Malaysia Tornadoes","England Nightmares",2,0
2014,1,"Scotland Squirrels","Denmark Horntails","Denmark Horntails",15,9
2014,1,"Wales Longshots","France Hippogriffs Firsts","Wales Longshots",9,6
2014,1,"Ireland Griffins","New Zealand Daemons","New Zealand Daemons",3,5
2014,1,"France Thestrals","Australia Centurions","France Thestrals",3,11
2014,1,"Germany Werewolves","Japan Falcons","Germany Werewolves",8,10
2014,2,"United States Chimeras","Pakistan Swans","Pakistan Swans",11,9
2014,2,"Turkey Knights","Malaysia Tornadoes","Malaysia Tornadoes",5,12
2014,2,"Durhamstrang","Denmark Horntails","Denmark Horntails",6,4
